id_objek,nama_objek,type_objek
781,Museum Sejarah Fatahillah,MUSEUM
780,Museum The Blanco Renaissance,MUSEUM
779,Museum Tsunami,MUSEUM
778,Museum Ullen Sentalu,MUSEUM
777,Museum Wayang,MUSEUM
776,Museum Zoologi,MUSEUM
775,Nagoya Hill Shopping Mall,TEMPAT BELANJA
774,Neka Art Museum,MUSEUM
773,Ngarai Sianok,WISATA ALAM & TAMAN
772,Night At The Zoo,KEBUN BINATANG & AKUARIUM
771,Pagoda Avalokitesvara,PEMANDANGAN & TENGARA
770,Pantai Air Manis,WISATA ALAM & TAMAN
769,Pantai Akkarena,WISATA ALAM & TAMAN
768,Pantai Amed,WISATA ALAM & TAMAN
767,Pantai Balekambang,WISATA ALAM & TAMAN
766,Pantai Baron,WISATA ALAM & TAMAN
765,Pantai Batu Belig,WISATA ALAM & TAMAN
764,Pantai Batu Mejan (Echo Beach),WISATA ALAM & TAMAN
763,Pantai Bingin,WISATA ALAM & TAMAN
762,Pantai Blue Lagoon,WISATA ALAM & TAMAN
761,Pantai Bukit Berahu,WISATA ALAM & TAMAN
760,Pantai Canggu,WISATA ALAM & TAMAN
759,Pantai Double Six,WISATA ALAM & TAMAN
758,Pantai Dreamland,WISATA ALAM & TAMAN
757,Pantai Geger Nusa Dua Bali,WISATA ALAM & TAMAN
756,Pantai GIli Meno,WISATA ALAM & TAMAN
755,Pantai Goa Cina,WISATA ALAM & TAMAN
754,Pantai Green Bowl,WISATA ALAM & TAMAN
753,Pantai Iboih,WISATA ALAM & TAMAN
752,Pantai Indrayanti,WISATA ALAM & TAMAN
751,Pantai Jemeluk,WISATA ALAM & TAMAN
750,Pantai Jimbaran,LAINNYA
749,Pantai Karma Bali,WISATA ALAM & TAMAN
748,Pantai Kedonganan,WISATA ALAM & TAMAN
747,Pantai Kelingking,WISATA ALAM & TAMAN
746,Pantai Kukup,WISATA ALAM & TAMAN
745,Pantai Kuta - Lombok,WISATA ALAM & TAMAN
744,Pantai Lamaru,WISATA ALAM & TAMAN
743,Pantai Legian,WISATA ALAM & TAMAN
742,Pantai Lipah,WISATA ALAM & TAMAN
741,Pantai Losari,WISATA ALAM & TAMAN
740,Pantai Lovina,WISATA ALAM & TAMAN
739,Pantai Mawun,WISATA ALAM & TAMAN
738,Pantai Melasti,WISATA ALAM & TAMAN
737,Pantai Mengiat,WISATA ALAM & TAMAN
736,Pantai Mutun,WISATA ALAM & TAMAN
735,Pantai Natsepa,WISATA ALAM & TAMAN
734,Pantai Nusa Dua,WISATA ALAM & TAMAN
733,Pantai Nyang-nyang,WISATA ALAM & TAMAN
732,Pantai Padang Padang,WISATA ALAM & TAMAN
731,Pantai Padang Taplau,WISATA ALAM & TAMAN
730,Pantai Pandawa,WISATA ALAM & TAMAN
729,Pantai Panjang,WISATA ALAM & TAMAN
728,Pantai Parai Tenggiri,WISATA ALAM & TAMAN
727,Pantai Parangtritis,WISATA ALAM & TAMAN
726,Pantai Pasih Uug,WISATA ALAM & TAMAN
725,Pantai Pasir Putih,WISATA ALAM & TAMAN
724,Pantai Petitenget,WISATA ALAM & TAMAN
723,Pantai Pink,WISATA ALAM & TAMAN
722,Pantai Pulau Merah,WISATA ALAM & TAMAN
721,Pantai Sanur,WISATA ALAM & TAMAN
720,Pantai Sari Ringgung,WISATA ALAM & TAMAN
719,Pantai Sawarna,WISATA ALAM & TAMAN
718,Pantai Selong Belanak,WISATA ALAM & TAMAN
717,Pantai Seminyak,WISATA ALAM & TAMAN
716,Pantai Senggigi,WISATA ALAM & TAMAN
715,Pantai Sindhu,WISATA ALAM & TAMAN
714,Pantai Sulamadaha,WISATA ALAM & TAMAN
713,Pantai Suluban,WISATA ALAM & TAMAN
712,Pantai Sundak,WISATA ALAM & TAMAN
711,Pantai Tanjung Aan,WISATA ALAM & TAMAN
710,Pantai Tanjung Kelayang,WISATA ALAM & TAMAN
709,Pantai Tanjung Pendam,WISATA ALAM & TAMAN
708,Pantai Tanjung Tinggi,WISATA ALAM & TAMAN
707,Pantai Tegal Wangi,WISATA ALAM & TAMAN
706,Pantai Thomas,WISATA ALAM & TAMAN
705,Pantai Wediombo,WISATA ALAM & TAMAN
704,Paris Van Java,TEMPAT BELANJA
703,Pasar Ikan Jimbaran,TEMPAT BELANJA
702,Pasar Klewer,TEMPAT BELANJA
701,Pasar Loak di Jalan Surabaya,TEMPAT BELANJA
700,Pasar Semawis,TEMPAT BELANJA
699,Pasar Seni Tradisional Ubud,TEMPAT BELANJA
698,Pasar Sindhu,TEMPAT BELANJA
697,Pasar Tanah Abang,TEMPAT BELANJA
696,Patung Sura dan Buaya,MUSEUM
695,Pemandian Air Panas Guci,WISATA ALAM & TAMAN
694,Perpustakaan Soeman H.S.,SUMBER INFORMASI WISATAWAN
693,Pertapaan Karmel OCD,PEMANDANGAN & TENGARA
692,Pesta Makanan Pakuwon,TEMPAT BELANJA
691,Plaza Ambarrukmo,TEMPAT BELANJA
690,Plaza Lagoi,TEMPAT BELANJA
689,Plaza Senayan,TEMPAT BELANJA
688,Pondok Indah Mall,TEMPAT BELANJA
687,Pulau Bangka,WISATA ALAM & TAMAN
686,Pulau Batu Berlayar,WISATA ALAM & TAMAN
685,Pulau Kanawa,WISATA ALAM & TAMAN
684,Pulau Kemaro,WISATA ALAM & TAMAN
683,Pulau Koaba,WISATA ALAM & TAMAN
682,Pulau Komodo,WISATA ALAM & TAMAN
681,Pulau Menjangan,WISATA ALAM & TAMAN
680,Pulau Padar,WISATA ALAM & TAMAN
679,Pulau Pahawang,WISATA ALAM & TAMAN
678,Pulau Penyengat,WISATA ALAM & TAMAN
677,Pulau Penyu,WISATA ALAM & TAMAN
676,Pulau Rinca,WISATA ALAM & TAMAN
675,Pulau Sempu,WISATA ALAM & TAMAN
674,Pulau Seribu,WISATA ALAM & TAMAN
673,Pulau Tidung,WISATA ALAM & TAMAN
672,Punthuk Setumbu,PEMANDANGAN & TENGARA
671,Pura Agung Narmada,WISATA ALAM & TAMAN
670,Pura Besakih,PEMANDANGAN & TENGARA
669,Pura Goa Lawah,WISATA ALAM & TAMAN
668,Pura Gunung Kawi Sebatu,PEMANDANGAN & TENGARA
667,Pura Lempuyang,PEMANDANGAN & TENGARA
666,Pura Luhur Uluwatu,PEMANDANGAN & TENGARA
665,Pura Puseh Batuan,PEMANDANGAN & TENGARA
664,Pura Saraswati,PEMANDANGAN & TENGARA
663,Pura Taman Ayun,PEMANDANGAN & TENGARA
662,Pura Tanah Lot,PEMANDANGAN & TENGARA
661,Pura Tirta Empul,PEMANDANGAN & TENGARA
660,Pura Ulun Danu Batur,PEMANDANGAN & TENGARA
659,Pura Ulun Danu Bratan,PEMANDANGAN & TENGARA
658,Pusat Konservasi dan Pendidikan Penyu,WISATA ALAM & TAMAN
657,Pusat Perbelanjaan Beachwalk,TEMPAT BELANJA
656,Pusat Perbelanjaan Surabaya Town Square,TEMPAT BELANJA
655,Rumah Pengasingan Bung Karno,MUSEUM
654,Rumah Tjong A Fie,MUSEUM
653,Samasta Lifestyle Village,TEMPAT BELANJA
652,Sangeh Monkey Forest,WISATA ALAM & TAMAN
651,Sarinah Thamrin Plaza,TEMPAT BELANJA
650,Satria Agrowisata,PEMANDANGAN & TENGARA
649,Scientia Square Park (SQP),WISATA ALAM & TAMAN
648,Sekolah Dasar Muhammadiyah - Laskar Pelangi,PEMANDANGAN & TENGARA
647,Semaya One Fast Cruise,LAINNYA
646,Seminyak Village,TEMPAT BELANJA
645,Sendratari Ramayana di Prambanan,KONSER & PERTUNJUKAN
644,Simpang Lima,PEMANDANGAN & TENGARA
643,Sindu Kusuma Edupark,TAMAN AIR & TAMAN HIBURAN
642,Situ Patenggang,WISATA ALAM & TAMAN
641,St. Francis Xavier Catholic Church,PEMANDANGAN & TENGARA
640,Stasiun Kereta Gambir,TRANSPORTASI
639,Sudirman Street,PEMANDANGAN & TENGARA
638,Sukawati Art Market,TEMPAT BELANJA
637,Sumber Air Panas Sari Ater,WISATA ALAM & TAMAN
636,Summarecon Mal Bekasi,TEMPAT BELANJA
635,Summarecon Mal Serpong,TEMPAT BELANJA
634,Sumur Gumuling,PEMANDANGAN & TENGARA
633,Sungai Mahakam,WISATA ALAM & TAMAN
632,Supermal Karawaci,TEMPAT BELANJA
631,Suroboyo Carnival Park,TAMAN AIR & TAMAN HIBURAN
630,Taman Budaya Garuda Wisnu Kencana,WISATA ALAM & TAMAN
629,Taman Bungkul,WISATA ALAM & TAMAN
628,Taman Burung Bali,KEBUN BINATANG & AKUARIUM
627,Taman Festival,PEMANDANGAN & TENGARA
626,Taman Hutan Raya Tahura Ir. H. Juanda,WISATA ALAM & TAMAN
625,Taman Kambang Iwak Besak,WISATA ALAM & TAMAN
624,Taman Laut Nasional Bunaken,WISATA ALAM & TAMAN
623,Taman Mini Indonesia Indah,TAMAN AIR & TAMAN HIBURAN
622,Taman Nasional Bantimurung,WISATA ALAM & TAMAN
621,Taman Nasional Bromo Tengger Semeru,WISATA ALAM & TAMAN
620,Taman Nasional Gunung Gede Pangrango,WISATA ALAM & TAMAN
619,Taman Nasional Komodo,WISATA ALAM & TAMAN
618,Taman Nasional Loh Liang,WISATA ALAM & TAMAN
617,Taman Patung NuArt,MUSEUM
616,Taman Pintar Yogyakarta,TAMAN AIR & TAMAN HIBURAN
615,Taman Rekreasi Jawa Timur Park 2,TAMAN AIR & TAMAN HIBURAN
614,Taman Rekreasi Selecta,WISATA ALAM & TAMAN
613,Taman Safari dan Bahari Bali,TAMAN AIR & TAMAN HIBURAN
612,Taman Safari Indonesia Cisarua,KEBUN BINATANG & AKUARIUM
611,Taman Safari Prigen,KEBUN BINATANG & AKUARIUM
610,Taman Sari Gua Sunyaragi,PEMANDANGAN & TENGARA
609,Taman Ujung,PEMANDANGAN & TENGARA
608,Taman Wisata Mekarsari,PEMANDANGAN & TENGARA
607,Tangkuban Perahu,WISATA ALAM & TAMAN
606,Tanjung Bira,WISATA ALAM & TAMAN
605,Tanjung Papuma,WISATA ALAM & TAMAN
604,Tebing Blue Lagoon Cliff Jump,PEMANDANGAN & TENGARA
603,Tebing Breksi,WISATA ALAM & TAMAN
602,Tebing Devil`s Tears,WISATA ALAM & TAMAN
601,Telaga Sarangan,WISATA ALAM & TAMAN
600,Telaga Warna,WISATA ALAM & TAMAN
599,Teluk Crystal,WISATA ALAM & TAMAN
598,Tempat Rekreasi Darajat Pass,WISATA ALAM & TAMAN
597,Teras Kota Mall BSD City,TEMPAT BELANJA
596,Terminal Feri Batam Centre,TRANSPORTASI
595,The Breeze BSD CITY,TEMPAT BELANJA
594,The Flea Market Seminyak,TEMPAT BELANJA
593,The Jungle Waterpark,TAMAN AIR & TAMAN HIBURAN
592,Tirta Gangga,WISATA ALAM & TAMAN
591,Trans Studio Bandung,TEMPAT BELANJA
590,Trans Studio Makassar,TAMAN AIR & TAMAN HIBURAN
589,Transmart Carrefour,TEMPAT BELANJA
588,Tugu 0 km Indonesia,PEMANDANGAN & TENGARA
587,Tugu Khatulistiwa,PEMANDANGAN & TENGARA
586,Tugu Yogyakarta,PEMANDANGAN & TENGARA
585,Tunjungan Plaza,TEMPAT BELANJA
584,Ubud Kajeng Rice Fields Walk,PEMANDANGAN & TENGARA
583,Upside Down World,MUSEUM
582,Wahana Edukasi Batu Eco Green Park,TAMAN AIR & TAMAN HIBURAN
581,Wahana Gili Ocean,LAINNYA
580,Water Blow,PEMANDANGAN & TENGARA
579,Waterbom Bali,TAMAN AIR & TAMAN HIBURAN
578,Waterbom Jakarta,TAMAN AIR & TAMAN HIBURAN
577,Wisata Air Ocean Park Water Adventure,TAMAN AIR & TAMAN HIBURAN
576,Wisata Air Panas Ciater,WISATA ALAM & TAMAN
575,Wisata Alam Bukit Bangkirai,WISATA ALAM & TAMAN
574,Wisata Alam Kalibiru,WISATA ALAM & TAMAN
573,Wisata Bahari Lamongan,TAMAN AIR & TAMAN HIBURAN
572,Wisata Maribaya,WISATA ALAM & TAMAN
571,Yellow Bridge,PEMANDANGAN & TENGARA
